RISK_REWARD_RATIO,TIME_STOP_BARS,VOLUME_MULTIPLIER,ATR_MULTIPLIER,total_trades,win_rate,roi,max_drawdown,profit_factor,sharpe_ratio,calmar_ratio,final_capital
3.0,48,2.5,2.0,1174,32.793867120954005,-29.731166482947703,35.663678524262366,1.9121536786782614,-0.39535415638364413,-0.833653950271038,70268.83351705226
2.5,24,1.5,2.0,1359,37.969094922737305,-27.703951528484637,30.66234482554534,1.5232391893470594,-0.40305748150699466,-0.9035170560538471,72296.04847151558
3.0,24,2.5,1.5,2417,35.04344228382293,-44.06601555646038,46.47549884076378,1.7177772070106387,-0.4207382864538641,-0.9481558381426122,55933.98444353977
3.0,48,2.0,2.5,626,35.3035143769968,-19.707138143173974,34.68498042906336,1.7017005323084604,-0.42667199315376786,-0.5681749823523297,80292.86185682612
3.0,48,1.5,2.0,1315,31.863117870722434,-33.738172960610605,36.981453276244366,1.9837875461221295,-0.427656509212873,-0.9122998144121844,66261.82703938954
3.0,24,1.5,2.5,640,40.625,-17.527875749333603,28.71850056802311,1.3532211902643934,-0.44048987771711834,-0.6103339451102884,82472.12425066633
2.5,48,2.0,2.0,1284,33.72274143302181,-32.37136879124808,32.97201416958317,1.822489011739081,-0.44144091046928197,-0.9817831760217673,67628.63120875179
3.0,48,2.5,2.5,597,35.678391959798994,-19.440175564019444,32.76973038436805,1.668731175607416,-0.4465228731692938,-0.5932357494553228,80559.82443598041
2.5,48,2.5,2.0,1179,34.18150975402884,-30.898263034335155,31.43454273226463,1.7836608650263512,-0.4497282566426939,-0.9829397964367703,69101.73696566462
2.5,48,2.5,2.5,598,36.62207357859531,-18.869960811800546,31.648945679162633,1.6034756289302707,-0.45083734605607373,-0.5962271540762367,81130.03918819943
2.0,24,1.5,1.5,3170,38.26498422712934,-47.16371034397532,51.39663312128086,1.4938185427947286,-0.45347082815281875,-0.9176420220500223,52836.28965602459
2.0,48,1.5,2.5,637,38.14756671899529,-19.310273184323943,30.592394742459255,1.503630970403564,-0.45443907050614124,-0.6312115591762801,80689.72681567595
2.5,24,2.5,1.5,2435,36.09856262833676,-45.41742823867374,48.69277225455262,1.6295083726495991,-0.4679783300979465,-0.9327344929396036,54582.57176132625
2.5,48,2.0,1.5,2783,32.66259432267337,-52.43697945374727,52.50535108709461,1.8968569746589368,-0.47451278421093,-0.9986978159000608,47563.020546252505
1.5,48,2.0,2.5,633,42.65402843601896,-18.147312250620367,34.907550759038976,1.2448036009625558,-0.4788791493146981,-0.5198678181659965,81852.68774937956
